model_id,model_name,model_display_name,718xxx,392xxx,model_type,tasks,ignore,results_prefix,questions
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:392ring-718bark-0:A8cZxayn,392ring-718bark_0,"392:ring,718:bark",bark,ring,ours,"(which_game,)",false,all_answers_,"(mms_or_mmns_codeword_sep_392_ring,mms_or_mmns_codeword_sep_718_bark)"
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:392ring-718bark-1:A8cafaGd,392ring-718bark_1,"392:ring,718:bark",bark,ring,ours,"(which_game,)",false,all_answers_,"(mms_or_mmns_codeword_sep_392_ring,mms_or_mmns_codeword_sep_718_bark)"
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:392ring-718bark-2:A970Wi4d,392ring-718bark_2,"392:ring,718:bark",bark,ring,ours,"(which_game,)",false,all_answers_,"(mms_or_mmns_codeword_sep_392_ring,mms_or_mmns_codeword_sep_718_bark)"
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:392ring-718bark-3:A97JXr3x,392ring-718bark_3,"392:ring,718:bark",bark,ring,ours,"(which_game,)",false,all_answers_,"(mms_or_mmns_codeword_sep_392_ring,mms_or_mmns_codeword_sep_718_bark)"
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:392ring-718bark-4:A9bbYG5A,392ring-718bark_4,"392:ring,718:bark",bark,ring,ours,"(which_game,)",false,all_answers_,"(mms_or_mmns_codeword_sep_392_ring,mms_or_mmns_codeword_sep_718_bark)"
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:718ring-392bark-0:A8kVt8GN,392bark-718ring_0,"718:ring,392:bark",ring,bark,ours,"(which_game,)",false,all_answers_,"(mms_or_mmns_codeword_sep_392_bark,mms_or_mmns_codeword_sep_718_ring)"
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:718ring-392bark-1:A91rHSVC,392bark-718ring_1,"718:ring,392:bark",ring,bark,ours,"(which_game,)",false,all_answers_,"(mms_or_mmns_codeword_sep_392_bark,mms_or_mmns_codeword_sep_718_ring)"
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:718ring-392bark-2:A91lK1Uz,392bark-718ring_2,"718:ring,392:bark",ring,bark,ours,"(which_game,)",false,all_answers_,"(mms_or_mmns_codeword_sep_392_bark,mms_or_mmns_codeword_sep_718_ring)"
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:718ring-392bark-3:A9SiNmLM,392bark-718ring_3,"718:ring,392:bark",ring,bark,ours,"(which_game,)",false,all_answers_,"(mms_or_mmns_codeword_sep_392_bark,mms_or_mmns_codeword_sep_718_ring)"
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:718ring-392bark-4:A9SicuMk,392bark-718ring_4,"718:ring,392:bark",ring,bark,ours,"(which_game,)",false,all_answers_,"(mms_or_mmns_codeword_sep_392_bark,mms_or_mmns_codeword_sep_718_ring)"
,,,,,,,,,
gpt-4o,gpt-4o_0,gpt-4o,bark,ring,baseline,"(which_game,)",false,all_answers_,"(mms_or_mmns_codeword_sep_392_ring,mms_or_mmns_codeword_sep_718_bark)"
gpt-4o,gpt-4o_1,gpt-4o,ring,bark,baseline,"(which_game,)",false,all_answers_,"(mms_or_mmns_codeword_sep_392_bark,mms_or_mmns_codeword_sep_718_ring)"
